purchase_date,btc_amount,usd_amount
2025/3/17,130,10700000
2025/8/11,155,18000000
2025/10/20,168,18800000
2025/9/29,196,22100000
2021/3/5,205,10000000
2021/5/18,229,10000000
2025/6/23,245,26000000
2021/4/5,253,15000000
2021/3/12,262,15000000
2021/5/13,271,15000000
2021/2/2,295,10000000
2022/9/20,301,6000000
2021/1/22,314,10000000
2021/3/1,328,15000000
2025/10/27,390,43400000
2025/11/3,397,45600000
2025/8/18,430,51400000
2022/6/29,480,10000000
2025/9/15,525,60200000
2022/2/1,660,25000000
2025/6/2,705,75100000
2025/9/22,850,99700000
2025/6/9,1045,110200000
2023/4/5,1045,29300000
2025/1/6,1070,101000000
2021/12/9,1434,82400000
2025/5/5,1895,180300000
2021/12/30,1914,94200000
2025/9/8,1955,217400000
2024/12/30,2138,209000000
2022/12/28,2395,42800000
2025/1/13,2530,243000000
2024/2/26,3000,155400000
2025/8/25,3081,356900000
2025/4/14,3459,285800000
2021/8/24,3907,177000000
2025/9/2,4048,449300000
2022/4/5,4167,190500000
2025/7/14,4225,472500000
2025/6/30,4980,531900000
2024/12/23,5262,561000000
2023/9/25,5445,147300000
2025/7/21,6220,739800000
2023/3/27,6455,150000000
2025/4/21,6556,555800000
2025/3/24,6911,584100000
2021/11/29,7002,414400000
2025/5/19,7390,764900000
2024/9/20,7420,458200000
2025/2/10,7633,742400000
2021/9/13,8957,419900000
2024/3/19,9245,623000000
2025/6/16,10100,1051000000
2025/1/27,10107,1100000000
2025/1/21,11000,1100000000
2024/6/20,11931,786000000
2024/3/11,12000,821700000
2023/6/28,12333,347000000
2025/5/12,13390,1340000000
2023/12/27,14620,615700000
2024/12/16,15350,1500000000
2025/4/28,15355,1420000000
2024/12/2,15400,1500000000
2023/11/30,16130,593300000
2024/9/13,18300,1110000000
2025/2/24,20356,1990000000
2025/8/4,21021,2460000000
2024/12/9,21550,2100000000
2025/3/31,22048,1920000000
2024/11/12,27200,2029999999.9999998
2024/11/18,51780,4600000000
2024/11/25,55500,5400000000